"The stock item for Product is not valid.","Неверное количество товара."
"This product is out of stock.","Этого товара нет в наличии."
"Some of the products are out of stock.","Некоторых товаров нет в наличии."
"The stock item for Product in option is not valid.","Неверное количество выбранного товара."
"Undefined product type","Не определён тип товара"
"%1 is not a correct comparison method.","Неправильный метод сравнения: %1."
"No Backorders","Без задолженных заказов"
"Allow Qty Below 0","Разрешить кол-во ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить кол-во ниже 0 и оповестить клиента"
"In Stock","Есть в наличии"
"Out of Stock","Нет в наличии"
"Stock Item with id ""%1"" does not exist.","Позиция склада с ид ""%1"" не существует."
"Stock with id ""%1"" does not exist.","Склад с ид ""%1"" не существует."
"Not all of your products are available in the requested quantity.","Не все ваши товары есть в наличии в требуемом количестве."
"Product with SKU ""%1"" does not exist","Товар с артикулом ""%1"" не существует"
"The fewest you may purchase is %1.","Вы не можете приобрести меньше, чем %1."
"Please correct the quantity for some products.","Пожалуйста, измените количество некоторых товаров."
"The most you may purchase is %1.","Вы не можете приобрести больше, чем %1."
"We don\'t have as many ""%1"" as you requested.","У нас нет столько товара ""%1"", как вы запрашиваете."
"We don\'t have as many ""%1"" as you requested, but we\'ll back order the remaining %2.","У нас нет столько товара ""%1"", как вы запрашиваете, но мы закажем недостающее количество %2 шт."
"We don\'t have ""%1"" in the requested quantity, so we\'ll back order the remaining %2.","У нас нет запрашиваемого количества товара ""%1"", но мы закажем недостающее количество %2 шт."
"You can buy %1 only in quantities of %2 at a time.","Вы можете покупать товар %1 только в количестве кратном %2."
"You can buy this product only in quantities of %1 at a time.","Вы можете покупать этот товар только в количестве кратном %1."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Stock Status"
"Advanced Inventory","Расширенное управление наличием"
"%1 is available to buy in increments of %2","Товар %1 доступен для заказа только в количестве с шагом %2"
"Only %1 left","Осталось только %1"
"Product availability","Доступность товара"
"Product Name","Название товара"
Qty,Кол-во
"Inventory Section",Склад
Inventory,Склад
"Stock Options","Параметры наличия"
"Decrease Stock When Order is Placed","Уменьшать количество товара в момент оформления заказа"
"Set Items' Status to be In Stock When Order is Cancelled","Менять статус товара на ""есть в наличии"" после отмены заказа"
"Display Out of Stock Products","Показывать товары, которых нет в наличии"
"Products will still be shown by direct product URLs.","Товары всё ещё будут доступны по прямым ссылкам на товар."
"Only X left Threshold","Порог для поля Осталось только X"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Параметры наличия товара"
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","
                    Имейте в виду, что эти настройки применяются к конкретным позициям в корзине, а не ко всей корзине.
                "
"Manage Stock","Управление наличием"
Backorders,"Задолженные заказы"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во, разрешённое в корзине"
"Out-of-Stock Threshold","Порог для поля Нет в наличии"
"Minimum Qty Allowed in Shopping Cart","Минимальное кол-во, разрешённое в корзине"
"Notify for Quantity Below","Оповещать о количестве ниже"
"Automatically Return Credit Memo Item to Stock","Автоматически увеличивать наличие позиции после возврата платежа"
"Enable Qty Increments","Включить шаг количества"
"Qty Increments","Шаг количества"
Stock,Склад
"Index stock","Индекс наличия"
"Use Config Settings","Использовать настройки конфигурации"
"Qty Uses Decimals","Дробное кол-во"
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Shipping"
"Use deferred Stock update","Use deferred Stock update"
Quantity,Количество
"Delete Rule",Удалить
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
Reset,Сбросить
"Save and Apply","Сохранить и применить"
"Save and Continue Edit","Сохранить и продолжить"
Save,Сохранить
"Catalog Price Rule","Ценовое правило для каталога"
"Add New Rule",Добавить
"Apply Rules","Применить правила"
Conditions,Условия
"Conditions (don\'t add conditions if rule is applied to all products)","Условия (не добавляйте условия, если правило применимо ко всем товарам)"
ID,ИД
Type,Тип
"Attribute Set","Набор атрибутов"
SKU,Артикул
Product,Товар
Promotions,Маркетинг
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Мы нашли изменённые правила, которые не были применены. Пожалуйста, нажмите ""Применить правила"", чтобы обновить ваш каталог."
"We can\'t apply the rules.","Мы не можем применить правила."
"You deleted the rule.","Вы удалили правило."
"We can\'t delete this rule right now. Please review the log and try again.","Мы не можем удалить правило в данный момент. Пожалуйста, проверьте журнал и попробуйте снова."
"We can\'t find a rule to delete.","Мы не можем найти правило для удаления."
"This rule no longer exists.","Это правило больше не существует."
"New Catalog Price Rule","Новое ценовое правило"
"Edit Rule",Изменить
"New Rule","Новое правило"
Catalog,Каталог
"You saved the rule.","Вы сохранили правило."
"Something went wrong while saving the rule data. Please review the error log.","Что-то пошло не так во время сохранения правила. Пожалуйста, проверьте журнал ошибок."
Promo,Маркетинг
"Unable to save rule %1","Невозможно сохранить правило %1"
"Rule with specified ID ""%1"" not found.","Невозможно найти правило с ИД %1"
"Unable to remove rule %1","Невозможно удалить правило %1"
"Could not rebuild index for empty products array","Невозможно пересоздать индекс для пустого массива товаров"
"We can\'t rebuild the index for an undefined product.","Мы не можем обновить индекс для товара, который неопределён."
"Percentage discount should be between 0 and 100.","Скидка в процентах должна быть между 0 и 100."
"Discount value should be 0 or greater.","Значение скидки должно не должно быть меньше 0."
"Unknown action.","Неизвестное действие."
"Update the Product","Обновить товар"
"Rule price","Цена для правила"
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"By Fixed value","На фиксированное значение"
"By Percentage","На процент"
"Update product's %1 %2: %3","Обновить у товара %1 %2: %3"
"Apply as percentage of original","Отнять процент от оригинальной цены"
"Apply as fixed amount","Отнять фиксированную сумму"
"Adjust final price to this percentage","Заменить цену на процент от оригинальной цены"
"Adjust final price to discount value","Заменить цену на значение скидки"
"Conditions Combination","Набор условий"
"Product Attribute","Атрибут товара"
Active,Активно
Inactive,"Не активно"
Yes,Да
No,Нет
"Updated rules applied.","Изменённые правила применены."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Вы отключили ценовые правила (%1 шт.) для каталога, использующие атрибут ""%2""."
"Catalog Rule Product","Правило для каталога"
"Indexed rule/product association","Проиндексированные связи правило/товар"
"Catalog Product Rule","Правило для каталога"
"Indexed product/rule association","Проиндексированные связи товар/правило"
Rule,Правило
Start,Пуск
End,Окончание
Status,Статус
"Web Site",Сайт
Back,Вернуться
"Rule Information","Информация о правиле"
Actions,Действия
Home,Главная
"Go to Home Page","Перейти на главную страницу"
"Catalog Advanced Search","Расширенный поиск по каталогу"
All,Все
Yes,Да
No,Нет
Results,Результаты
Grid,Сетка
List,Список
"Search Weight","поисковый вес"
Relevance,Релевантность
"Search results for: '%1'","Результаты поиска для: '%1'"
"Minimum Search query length is %1","Минимальная длина поискового запроса - %1 (символов)"
"Please specify at least one search term.","Пожалуйста, укажите хотя бы один поисковый запрос."
"%1 and greater","%1 и больше"
"up to %1","до %1"
Category,Категория
"%1 and above","%1 и больше"
"%1 - %2","%1 - %2"
"Bucket do not exists","Поиск не дал результатов"
Product,Товар
"Search Settings","Настройки поиска"
Search,Поиск
"Advanced Search","Расширенный поиск"
"<strong>%1 item</strong> were found using the following search criteria","При использовании поискового критерия найдено позиций <strong>%1 шт.</strong>"
"<strong>%1 items</strong> were found using the following search criteria","При использовании поискового критерия найдено позиций <strong>%1 шт.</strong>"
"We can\'t find any items matching these search criteria.","Мы не можем найти позиции, соответствующие заданным условиям поиска."
"Modify your search.","
Измените критерии поиска."
name,Название
"Don't see what you're looking for?","Не нашли то, что искали?"
"Your search returned no results.","Нет результатов по вашему запросу."
"Popular Search Terms","Популярные поисковые запросы"
"Catalog Search","Поиск по каталогу"
"Minimal Query Length","Минимальная длина запроса"
"Maximum Query Length","Максимальная длина запроса"
"Rebuild Catalog product fulltext search index","Перестроить поисковый индекс для товаров каталога"
"Create Permanent Redirect for old URL","Создать постоянную переадресацию для старых URL"
"Category URL Suffix","URL суффикс категории"
"You need to refresh the cache.","Вам необходимо обновить кэш."
"Product URL Suffix","Суффикс для ссылки на товар"
"Use Categories Path for Product URLs","Использовать путь категории для адресов (URLs) товара"
"Create Permanent Redirect for URLs if URL Key Changed","Создать постоянную переадресацию для старых URL при смене ключа URL"
"Conditions Combination","Набор условий"
"Product Attribute","Атрибут товара"
SKU,Артикул
"Please choose a condition to add.","Пожалуйста, выберите условие для добавления."
"Add to Cart","Добавить в корзину"
"In stock","Есть в наличии"
"Out of stock","Нет в наличии"
"Add to Wish List",Хочу!
"Add to Compare","Добавить в сравнение"
"Catalog Products List","Список товаров каталога"
"List of Products","Список товаров"
Title,Заголовок
"Display Page Control","Отображать переключение по страницам"
"Number of Products per Page","Кол-во товаров на страницу"
"Number of Products to Display","Кол-во товаров для отображения"
Template,Шаблон
"Products Grid Template","Шаблон сетки товаров"
"Cache Lifetime (Seconds)","Время жизни кэша (в секундах)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","Если не указано, то используется значение по умолчанию: 86400. Чтобы обновить сразу, очистите кэш Вывод HTML Блоков."
Conditions,Условия
Root,Корневая
Delete,Удалить
Save,Сохранить
"Use Config Settings","Использовать настройки конфигурации"
"Use All Available Attributes","Использовать все доступные атрибуты"
ID,ИД
Name,Название
SKU,Артикул
Price,Цена
Position,Позиция
"Add Subcategory","Добавить подкатегорию"
"Add Root Category","Добавить категорию"
Day,День
Month,Месяц
Year,Год
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
[GLOBAL],[Глобально]
[WEBSITE],[Сайт]
"[STORE VIEW]",[Витрина]
"WYSIWYG Editor","Редактор WYSIWYG"
"Add Product",Добавить
label,заголовок
"Product Attributes","Атрибуты товаров"
"Add New Attribute",Добавить
"Save in New Attribute Set","Сохранить в новом наборе атрибутов"
"Enter Name for New Attribute Set","введите название для нового набора атрибутов"
"Save and Continue Edit","Сохранить и продолжить"
"Save Attribute","Сохранить атрибут"
"Delete Attribute","Удалить атрибут"
"Edit Product Attribute ""%1""","Редактировать атрибут товара ""%1"""
"New Product Attribute","Новый атрибут товара"
"Advanced Attribute Properties","Дополнительные свойства атрибута"
"Attribute Code","Код атрибута"
"This is used internally. Make sure you don\'t use spaces or more than %1 symbols.","Для внутреннего использования. Убедитесь, что не используете пробелы или больше %1 символов."
"Default Value","Значение по умолчанию"
"Unique Value","Уникальное значение"
"Unique Value (not shared with other products)","Уникальное значение (не разделять с другими товарами)"
"Not shared with other products.","Не разделять с другими товарами."
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Add to Column Options","Добавить в менеджер колонок"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Установите ""Да"" для добавления атрибута в панель фильтров над таблицей товаров."
"Use in Filter Options","Использовать для фильтрации"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Установите ""Да"" для добавления атрибута в панель фильтров над таблицей товаров."
"Store View",Витрина
Website,Сайт
Global,Глобально
Scope,"Область действия"
"Declare attribute value saving scope.","Объявить диапазон действия сохраняемого значения атрибута."
"Storefront Properties","Свойства пользовательской части"
"Use in Search","Использовать в поиске"
"Visible in Advanced Search","Видимый в расширенном поиске"
"Comparable on Storefront","Сравнимый в пользовательской части"
"Use for Promo Rule Conditions","Использовать для условий PROMO правил"
"Enable WYSIWYG","Включить WYSIWYG"
"Allow HTML Tags on Storefront","Разрешить HTML в пользовательской части"
"Visible on Catalog Pages on Storefront","Видимый на странице категории в пользовательской части"
"Used in Product Listing","Использовать в списке товаров"
"Depends on design theme.","Зависит от дизайна темы"
"Used for Sorting in Product Listing","Использовать для сортировки в списке товаров"
"Media Image","Медиа изображение"
Gallery,Галерея
"System Properties","Свойства системы"
No,Нет
Yes,Да
"Data Type for Saving in Database","Тип данных для сохранение в базе данных"
Text,Текст
Varchar,Строка
Static,Статичный
Datetime,"Дата и время"
Decimal,Десятичное
Integer,Целое
"Globally Editable","Редактируемые везде"
"Attribute Information","Информация об атрибуте"
Properties,Свойства
"Manage Labels","Управление заголовками"
Visible,Видимый
Website,Сайт
Searchable,"Для поиска"
Comparable,Сравнимый
"Delete Selected Group","Удалить выбранную группу"
"Add New","Добавить новый"
Back,Вернуться
Reset,Сбросить
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Все товары этого набора будут удалены. Вы действительно хотите удалить этот набор атрибутов?"
"New Set Name","Название нового набора"
"Edit Attribute Set '%1'","Редактирование набора атрибутов '%1'"
Empty,Очистить
"Add Attribute","Добавить атрибут"
"Add New Group","Добавить новую группу"
"Add Group","Добавить группу"
"Edit Attribute Set Name","Редактирование названия набора атрибутов"
"For internal use","Для внутреннего использования"
"Based On","Основано на"
"Add New Attribute Set","Добавьте новый набор атрибутов"
"Add Attribute Set","Добавить набор атрибутов"
"Attribute Sets","Наборы атрибутов"
"Close Window","Закрыть окно"
"New Product","Новый товар"
"Save & Edit","Сохранить & Редактировать"
"Save & New","Сохранить & Новый"
"Save & Duplicate","Сохранить & Дублировать"
"Save & Close","Сохранить и Закрыть"
Attributes,Атрибуты
Change,Изменить
"Advanced Inventory","Расширенное управление наличием"
Websites,Сайты
"Products Information","Информация о товаре"
"Create Category","Создать категорию"
"Category Name","Название категории"
"Parent Category","Родительская категория"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>."
"Price Alert Subscriptions","Уведомления об изменениях цены"
"Stock Alert Subscriptions","Уведомления об появлении в продаже"
"There are no customers for this alert.","Нет клиентов для этого оповещения."
"First Name",Имя
"Last Name",Фамилия
Email,"Электронная почта"
"Subscribe Date","Дата подписки"
"Last Notified","Последнее уведомление"
"Send Count","Отправить количество"
"New Attribute","Новый атрибут"
Type,Тип
"Attribute Set","Набор атрибутов"
Status,Статус
Visibility,Видимость
"Add New Option","Добавить новый вариант"
"Import Options","Импорт вариантов"
"Use Default","Использовать значение по умолчанию"
Import,Импорт
"Add New Row","Добавить новую строку"
"Delete Row","Удалить строку"
"Tier Pricing","Дифференцированные цены"
"Default Price","Цена по умолчанию"
"All Websites","Все сайты"
"ALL GROUPS","ВСЕ ГРУППЫ"
"Add Price","Добавить цену"
"Default Values","Значения по умолчанию"
"Related Products","Сопутствующие товары"
Up-sells,"Похожие товары"
Cross-sells,"Перекрёстные продажи"
"Size for %1","Размер для %1"
"Watermark File for %1","Файл водяного знака для %1"
"Position of Watermark for %1","Расположение водяного знака для %1"
"Name in %1","Название в %1"
Quantity,Количество
Edit,Изменить
"Are you sure?","Вы уверены?"
"Change Status","Изменить статус"
"Update Attributes","Обновить атрибуты"
"start typing to search category","начните печатать для поиска категории"
"New Category","Новая категория"
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Add New Images","Добавить новые изображения"
"Inc. Tax","Включая налог"
"Does this have a weight?","У этого товара есть вес?"
Product,Товар
"Notify Low Stock RSS","RSS заканчивающихся товаров"
"Low Stock Products","Заканчивающиеся товары"
"%1 has reached a quantity of %2.","%1 достиг значения %2."
Home,Главная
"Go to Home Page","Перейти на главную страницу"
"Subscribe to RSS Feed","Подписаться на RSS канал"
"Products Comparison List","Список сравнения товаров"
N/A,Н/Д
AM,AM
PM,PM
"-- Please Select --","-- Выберите --"
None,Отсутствует
"New Products from %1","Новые товары от %1"
"New Products","Новые товары"
"%1 - Special Products","Специальные предложения"
"Click for price","Узнать цену"
"Special Expires On: %1","Особое предложение истекает: %1"
"Price: %1","Цена: %1"
"Special Price: %1","Особое предложение: %1"
"Special Products","Товары с особым предложением"
"You deleted the category.","Вы удалили категорию."
"Something went wrong while trying to delete the category.","Что-то пошло не так при попытке удалить категорию."
Categories,Категории
"Manage Catalog Categories","Управление категориями каталога"
"Manage Categories","Управление категориями"
"Category is not available for requested store.","Категория недоступна для этого магазина."
"There was a category move error.","Ошибка при перемещении категории."
"There was a category move error. %1","Ошибка при перемещении категории. %1"
"You moved the category","Вы переместили категорию"
"Attribute ""%1"" is required.","Атрибут ""%1"" является обязательным."
"You saved the category.","Вы сохранили категорию."
"Something went wrong while saving the category.","Что-то пошло не так при сохранении категории."
"Please select products for attributes update.","Пожалуйста, выберите товары для обновления атрибутов."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"A total of %1 record(s) were updated.","Обновлено записей: %1."
"Something went wrong while updating the product(s) attributes.","Что-то пошло не так во время обновления атрибутов товара."
"Please, specify attributes","Пожалуйста, укажите обязательные атрибуты"
Catalog,Каталог
"Manage Product Attributes","Управление атрибутами товара"
"We can\'t delete the attribute.","Мы не можем удалить атрибут."
"You deleted the product attribute.","Вы удалили атрибут товара."
"We can\'t find an attribute to delete.","Мы не можем найти атрибут для удаления."
"This attribute no longer exists.","Этот атрибут больше не существует."
"This attribute cannot be edited.","Этот атрибут не может быть отредактирован."
"Edit Product Attribute","Редактировать атрибут товара"
"An attribute set named \'%1\' already exists.","Набор атрибутов с названием \'%1\' уже существует."
"Something went wrong while saving the attribute.","Что-то пошло не так во время сохранения атрибута."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can\'t update the attribute.","Мы не можем обновить атрибут."
"You saved the product attribute.","Вы сохранили атрибут товара."
"An attribute with this code already exists.","Атрибут с таким кодом уже существует."
"An attribute with the same code (%1) already exists.","Атрибут с таким кодом (%1) уже существует."
"You duplicated the product.","Вы продублировали товар."
"This product no longer exists.","Товар больше не существует."
Products,Товары
"A group with the same name already exists.","Группа с таким же именем уже существует."
"Something went wrong while saving this group.","Что-то пошло не так во время сохранения этой группы."
"A total of %1 record(s) have been deleted.","Удалено записей: %1."
"A total of %1 record(s) have been updated.","Обновлено записей: %1."
"Something went wrong while updating the product(s) status.","Что-то пошло не так во время изменения статуса товара."
"Unable to save product","Невозможно сохранить товар"
"You saved the product.","Вы сохранили товар."
"SKU for product %1 has been changed to %2.","Артикул товара %1 был изменён на %2."
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role"
"New Attribute Set","Новый набор атрибутов"
"The attribute set has been removed.","Набор атрибутов удалён."
"We can\'t delete this set right now.","Мы не можем удалить этот набор в данный момент."
"New Set","Новый набор"
"Manage Product Sets","Управление наборами товаров"
"Manage Attribute Sets","Управление наборами атрибутов"
"This attribute set no longer exists.","Этот набор атрибутов больше не существует."
"You saved the attribute set.","Вы сохранили набор атрибутов."
"Something went wrong while saving the attribute set.","Что-то пошло не так во время сохранения набора атрибутов."
"You added product %1 to the comparison list.","Вы добавили товар %1 в список сравнения."
"You cleared the comparison list.","Вы очистили список сравнения."
"Something went wrong  clearing the comparison list.","Что-то пошло не так во время очистки списка сравнения."
"You removed product %1 from the comparison list.","Вы удалили товар %1 из списка сравнения."
"1 item","1 шт."
"%1 items","%1 шт."
"Invalid attribute %1","неправильный атрибут %1"
Grid,Сетка
List,Список
All,Все
"Bad controller interface for showing product","Bad controller interface for showing product"
"Product is not loaded","Товар не загружен"
"Make sure the To Date is later than or the same as the From Date.","Убедитесь, что дата окончания позже или такая же, как дата начала."
"Sorry, but we can\'t find the new parent category you selected.","Извините, но мы не можем найти новую родительскую категорию, которую вы выбрали."
"Sorry, but we can\'t find the new category you selected.","Извините, но мы не можем найти новую категорию, которую вы выбрали."
"We can\'t move the category because the parent category name matches the child category name.","Мы не можем переместить категорию, потому что название родительской категории совпадает с названием дочерней категории."
"Can\'t delete root category.","Невозможно удалить корневую категорию."
"The value of attribute ""%1"" must be unique.","Значение атрибута ""%1"" должно быть уникальным."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Значение по умолчанию поля ""Сортировать по критерию"" списка товаров не существует в доступных значениях для этого поля."
"No layout updates","Нет обновлений макета"
"Products only","Только товары"
"Static block only","Только статичный блок"
"Static block and products","Статичный блок и товары"
"Please select a static block.","Пожалуйста, выберите статичный блок."
frontend_label,frontend_label
"Could not save product ""%1"" with position %2 to category %3","Could not save product ""%1"" with position %2 to category %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Could not save product ""%product"" with position %position to category %category"
"Operation do not allow to move a parent category to any of children category","Невозможно переместить родительскую категорию в любую из дочерних категорий"
"Could not move category","Невозможно переместить категорию"
"Could not save category: %1","Невозможно сохранить категорию: %1"
"Cannot delete category with id %1","Невозможно удалить категорию с ид %1"
"-- Please Select a Category --","-- Выберите категорию --"
"Grid Only","Только сеткой"
"List Only","Только список"
"Grid (default) / List","Сетка (по умолчанию) / список"
"List (default) / Grid","Список (по умолчанию) / сетка"
"Automatic (equalize price ranges)","Автоматически (уравнять ценовые диапазоны)"
"Automatic (equalize product counts)","Автоматически (уравнять количества товаров)"
Manual,Вручную
Fixed,Фиксированный
Percent,Процент
"-- Please select --","-- Выберите --"
"Product Thumbnail Itself","Мини-изображение товара"
"Parent Product Thumbnail","Мини-изображение родительского товара"
"12h AM/PM","12 часовой (AM/PM)"
24h,24ч
Stretch,Растянуть
Tile,Повторение
Top/Left,Верх/лево
Top/Right,Верх/право
Bottom/Left,Низ/Лево
Bottom/Right,Низ/Право
Center,Центр
"%1 doesn\'t extends \Magento\Framework\Model\AbstractModel","%1 doesn\'t extends \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Что-то пошло не так во время сохранения файла(ов)."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unknown EAV indexer type ""%1"".","Неизвестный тип EAV индексатора ""%1""."
"We can\'t rebuild the index for an undefined product.","Мы не можем обновить индекс для товара, который неопределён."
"Bad value was supplied.","Получено плохое значение."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Модуль каталога с горизонтальной структурой данных имеет ограничение на максимальное количество (%2$d) фильтруемых/сортируемых атрибутов. В данный момент таких атрибутов: %1$d. Пожалуйста, уменьшите число фильтруемых/сортируемых атрибутов для использования данного модуля"
"Unsupported product type ""%1"".","Не поддерживаемый тип товара ""%1""."
"Please correct the category.","Пожалуйста, исправьте категорию."
"Must be category model instance or its id.","Должно быть экземпляром модели категории или его идентификатором."
"The attribute model is not defined.","Модель атрибута не определена."
Category,Категория
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn\'t extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 doesn\'t extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn\'t extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 doesn\'t extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Фильтр должен быть объектом. Пожалуйста, укажите корректный фильтр."
"Clear Price","Очистить цену"
"%1 and above","%1 и больше"
"The filters must be an array.","Фильтры должны быть в виде массива."
"Group price must be a number greater than 0.","Цена для группы должна быть числом больше 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Media Gallery converter should be an instance of EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","There is no MediaGalleryEntryConverter for given type"
"Please enter a number 0 or greater in this field.","Пожалуйста, введите в это поле число не меньше 0."
"The value of attribute ""%1"" must be set","Значение атрибута ""%1"" должно быть указано"
"SKU length should be %1 characters maximum.","Максимальная длина артикула %1 символов."
"Please enter a valid number in this field.","Пожалуйста, введите в это поле правильное число."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Invalid option id %1","Invalid option id %1"
"Can not create attribute set based on non product attribute set.","Невозможно создать набор атрибутов на основе набора атрибутов, не предназначенного для товаров."
"Can not create attribute set based on not existing attribute set","Невозможно создать набор атрибутов на основе несуществующего набора атрибутов"
"Provided Attribute set non product Attribute set.","Предоставленный набор атрибутов не является набором атрибутов для товара."
"Use config","Использовать настройки конфигурации"
Enabled,Включено
Disabled,Отключено
"Attribute Set already exists.","Набор атрибутов уже существует."
"We couldn\'t copy file %1. Please delete media with non-existing images and try again.","We couldn\'t copy file %1. Please delete media with non-existing images and try again."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Невозможно сохранить товар."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","Нет изображения с предоставленным ИД."
"Such product doesn\'t exist","Такой товар не существует"
"Such image doesn\'t exist","Такое изображение не существует"
"The image does not exist.","Изображение не существует."
"Please correct the image file type.","Пожалуйста, исправьте тип файла изображения."
"We couldn\'t move this file: %1.","Мы не смогли переместить этот файл: %1."
"We can\'t find the image file.","Мы не можем найти файл изображения."
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Выберите тип обязательных параметров."
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Пожалуйста, укажите обязательные параметры даты."
"Please specify time required option(s).","Пожалуйста, укажите обязательные параметры времени."
"Please specify product\'s required option(s).","Пожалуйста, укажите обязательные параметры товара."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We can\'t add the product to the cart because of an option validation issue.","We can\'t add the product to the cart because of an option validation issue."
"%1 doesn\'t extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 doesn\'t extends \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
px.,пикс.
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"The maximum allowed image size for '%1' is %2x%3 px.","The maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","The file '%1' is invalid. Please choose another one"
"File \'%1\' is not an image.","Файл \'%1\' не является изображением."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","Закачанный вами файл больше чем разрешено на сервере (%1 мегабайт)"
"Option required.","Option required."
"The file is empty. Please choose another one","Файл пустой. Пожалуйста, выберите другой"
"Some of the selected item options are not currently available.","Некоторые из выбранных параметров позиции в данный момент недоступны."
"The text is too long.","Текст слишком длинный."
"This product doesn\'t have tier price","У этого товара нет дифференцированных цен"
